ID,System,Title,Foreign Title,Category,Region,Serial,Version,Size,CRC32,MD5,SHA1
1197,Sony PlayStation Portable,Star Wars: Lethal Alliance,,Games,Europe,ULES-00599,1.01,896598016,02d2189e,f1f4cc8398298eb6e4d215b19350bf12,5e8fccf8dd84ff627423182bc6f9772dd01b9d4f
1198,Sony PlayStation Portable,The Lord of the Rings: Tactics,,Games,USA,ULUS-10038,1.00,554139648,7ca3c10e,91e8d1181c0d10bf50c3b800fe613667,d2532c131e2e38a79f2b695e72ebbfdffbc7096f
1199,Sony PlayStation Portable,Brothers in Arms: D-Day,,Games,"Europe, Australia",ULES-00608,1.01,1453326336,93ccffeb,76ef60dd2d1b53e91d7c34e5fa0b9f27,029341fa2412322d8db50a17a562042f5ef69b62
1200,Sony PlayStation Portable,Need for Speed: Most Wanted: 5-1-0,,Games,Asia,ULAS-42031,1.00,926580736,b44c94f1,50a602964fab41e26c9ca5193dd7c923,ba938761d68acb46f62912e2a7b33abbf34d94b4
1213,Sony PlayStation Portable,Miami Vice: The Game,Полиция Майами. Отдел нравов,Games,Russia,ULES-00376,1.01,350945280,3d7286ef,78bd9e8ec1f816f166e15456bc6385ff,b012261a2ea4c87dd2bf75e0b4c5e4cbb5d5c619
1214,Sony PlayStation Portable,The Sims 2: Pets,,Games,Asia,ULAS-42085,1.00,1670709248,650ef5b1,3e4730ca5cfc5467a6655501a453e836,c7db1820b559ee63c823a1dc730f023fef802734
1243,Sony PlayStation Portable,Lumines: Puzzle Fusion,,Games,Europe,ULES-00043,1.01,336166912,32a634f0,650d547440a69eeda8bef2719650e601,5a26dc8698185f678fab6ff4388086b4e3299278
1281,Sony PlayStation Portable,Peter Jackson's King Kong: The Official Game of the Movie,,Games,Europe,ULES-00225,1.01,573702144,5760e2c7,0479cca05492d0426c4b5fbf5403ed92,0a9bf92830176e5cd0815f5e0e3b141d4adae7b3
1285,Sony PlayStation Portable,Tom Clancy's Splinter Cell: Essentials,,Games,"Europe, Australia",ULES-00281,1.02,1812332544,66b943d9,81a8e1669656ff99a110e9a623107c87,5dae82b4835c474eeea26895a1a007237e027107
1286,Sony PlayStation Portable,Pursuit Force,,Games,Europe,"UCES-00019, UCES-00019/9162315",1.00,1352892416,e708d084,0cc2ecedb3c98b04af6cb029f0f168f8,c2cc27677c281d31d6100483e0d5185aa6aa9bf1
1287,Sony PlayStation Portable,Kingdom of Paradise,,Games,USA,UCUS-98623,1.00,1081999360,aec0d9bc,6ec92800cc2d8ea9f7c0ca5013dba4b0,0288fe7e12e53f9eff3b2d27d4337fde8b2f67b7
1288,Sony PlayStation Portable,NBA Street Showdown,,Games,Asia,ULAS-42003,1.00,1181679616,32577dd3,03542d8bacea66cd11e5ba21305887ef,a8a83490867523fb4695e68b3a3bbebd63b24889
1345,Sony PlayStation Portable,Grand Theft Auto: Vice City Stories,,Games,Europe,"ULES-00502, ULES-00502/P",1.02,1696006144,b44ac795,bf17f0cabd2f3d9ba3c30413c070758e,7cd0600e7f12b8fcef0872062ad381a41be963e5
1346,Sony PlayStation Portable,Killzone: Liberation,,Games,Europe,"UCES-00279, UCES-00279/P",1.00,581664768,57f4d17f,8d99308813ba3924b8c90c6b86b15134,01b5b12c38bf7ba6d2ff5d30a5459f1bf6b5bb2a
1391,Sony PlayStation Portable,Lumines II,,Games,Europe,ULES-00553,1.00,1179385856,fd014b71,03e7f52602364d131f00c90ca31fa60a,e7c4515411db0a2a8f2b03f06abac7f842344b46
1397,Sony PlayStation Portable,Killzone: Liberation,,Games,USA,UCUS-98646,1.00,581632000,a4f123eb,88d913fdf33172a3cfdb857b5c92be5b,dda1a72c28ccdd8ddd2f3cbfd2fa3188962b0458
1398,Sony PlayStation Portable,Metal Gear Ac!d²,Metal Gear Acid 2,Games,Europe,ULES-00284,1.01,917340160,324b1018,f43c903c00242896563c5b84de0d4e55,443e21fe55607252cc59c2a80e94f524876af24f
1452,Sony PlayStation Portable,Need for Speed: Most Wanted: 5-1-0,,Games,Europe,ULES-00196,1.00,932020224,108bff5d,bdcfcd52eb0df1e0d39aace243275090,11c87efd7b14b6ada89791cf4aacec6fa6c02579
1493,Sony PlayStation Portable,Need for Speed: Carbon: Own the City,,Games,Europe,"ULES-00576, ULES-00576/P",1.00,894173184,4095534a,5548cb8d4691c499e3f9642ccb4a5067,7210e758ce4bc944dd0547e989afe094f4054c34
1500,Sony PlayStation Portable,Lara Croft Tomb Raider: Legend,,Games,Europe,"ULES-00283, ULES-00283#",1.01,1515028480,09d3414b,a3140e419800a92188426fddaeb226d6,0499a2e3a0f73501001c61c4ca1de0b855390dce
1529,Sony PlayStation Portable,Tekken: Dark Resurrection,,Games,"Europe, Australia","UCES-00356, UCES-00356#, UCES-00356/ANZ#, UCES-00356/P",2.00,1791524864,a401c076,d4d260cb51467f5dcb59d6071b4dfdad,e3dcad724c175d6c2de88cd3e3652b7e2e4d5a11
1534,Sony PlayStation Portable,Formula One 06,,Games,Europe,UCES-00238,1.01,1743552512,37471f23,18ddb109d6d8659dd6efc6dc4f59af2f,9ec67d27613a6caff98571782b64d27ca206b1a7
1557,Sony PlayStation Portable,Pro Evolution Soccer 6,,Games,Europe,"ULES-00476, ULES-00476/P",1.03,1248329728,b4d00e7a,dba85542c6ba9c2fc1532a7622775901,e5adf0b1a8386a5a33a358c39e7aa76d6a7c54b6
1621,Sony PlayStation Portable,The Sims 2,,Games,Europe,ULES-00211,1.00,1114636288,f8ed1db8,349450486b708b259d2491eaa43cd1ac,3d66addd3717f6591557f8ee73983df667ba3002
1622,Sony PlayStation Portable,Grand Theft Auto: Liberty City Stories,,Games,Europe,ULES-00151,2.00,1255243776,824b2938,04c3e22762121ca59e8d6b83a0855211,be971bd5a7400fd09fd52bc053d1f8be77d18b74
1690,Sony PlayStation Portable,TMNT,,Games,USA,ULUS 10243,1.01,953221120,65523c74,64e7f8fac99da8913fbd65a5b1761967,7f60b7a79a84c33d33b8ddaf464a489936a30174
1722,Sony PlayStation Portable,DreamWorks Shrek the Third,,Games,Europe,ULES-00812,1.01,509444096,94aa2e13,b466d5655d854eec6a5f7ebc5f7eac8b,f947c6e8ef170c9a87416a9dc69f8e82ad43227f
1723,Sony PlayStation Portable,Coded Arms: Contagion,,Games,USA,ULUS-10184,1.04,547225600,c9842017,5f99c4bf5b2620a0100c1e8c976e72fa,c187dc04d784b279ccb2ed2401dc072ee8195a72
1771,Sony PlayStation Portable,Burnout Legends,,Games,Europe,ULES-00125#,2.00,505905152,2a70c088,4577a0a3b8a210ed689075151ceba97b,35774432b3a4b3d7ba5ac01e1b61c0947f983ec7
1772,Sony PlayStation Portable,Star Wars: Battlefront II,,Games,"Europe, Australia","ULES-00183, ULES-00183/P",1.01,738656256,e767aa58,b33c91697a53335fbff93d02e0f229c2,14a7d807c8654c976443036033335b7b2ac42609
1776,Sony PlayStation Portable,Disney · Pixar Ratatouille,Disney · Пиксар Рататуй,Games,Russia,ULES-00748#,1.00,906362880,0df8fd04,7ec425c2279ab94230aed8e9e75016e0,1cce82f9d27aebf6fe66d729994899352b4c9233
1889,Sony PlayStation Portable,SWAT: Target Liberty,,Games,Europe,ULES-00927,1.00,886865920,e46fd50a,5516d499de6cb0d04b7fdb81ff9a55b7,bc6d5510fae1d9fd8146dc505885bd39d141cd88
1890,Sony PlayStation Portable,Silent Hill Origins,,Games,Europe,ULES-00869,1.00,804683776,f1707c09,3f2609aaefb049daf2ed220a5ca2a8ed,8a51460105e4097615f3aefc41e86b379d68412d
1951,Sony PlayStation Portable,Transformers: The Game,,Games,Europe,ULES-00823,1.02,816644096,46582952,132e1fcb9bfd13ec43d980fd5b077cd3,1c47bc38c2971c7d5dd1b4d1a251f872a50a488a
2023,Sony PlayStation Portable,Salamander Portable,沙羅曼蛇PORTABLE,Games,"Japan, Asia","ULAS-42090, ULJM-05219",1.01,239370240,4b01200b,d7161b3b67960f4d705d13fbea288af1,b8ec7f21612c9c97f803a60665c4390956754ee0
2026,Sony PlayStation Portable,Puyo Puyo Fever,ぷよぷよフィーバー,Games,Japan,ULJM-05007,1.02,141590528,3c441a35,65e1630af575011b2e7e23e3d121fa0d,d17cc056626618e0a637a7663dacc75d84bc3deb
2029,Sony PlayStation Portable,Star Soldier,スターソルジャー,Games,Japan,"ULJM 05026, ULJM 05235",1.01,77955072,c3aa8e4e,a7fa76bb98580b198800fe1c8fd2de33,c3510b1cb826f9296cf95499f1bfd0d58c29622c
2058,Sony PlayStation Portable,Armored Core: Formula Front International,アーマード・コア フォーミュラフロント インターナショナル,Games,Japan,ULJS-19001,1.00,900595712,7d6e1b46,33d9ddca21e660585f44f803d30200c0,107ad3157488e23e1ad8d0d6dd2a642d38c3472d
2059,Sony PlayStation Portable,Blokus Club Portable with Bumpy Trot,ブロックス倶楽部ポータブル with バンピートロット 体験版,Demos,Japan,ULJM-91007,1.01,102334464,1bab57df,5aac3250f0ccda03224849eac547e3d9,e0ac66c205d4d971ff50c60d983105bf01827558
2060,Sony PlayStation Portable,Capcom Special Taikenban 3 in 1,カプコンスペシャル 体験版 3in1,Demos,Japan,ULJM-91004,1.00,132874240,e1fa6097,f9ebd34dd246692c04168cae5cdd06ba,f92f7685b018e7be7ac91afc423aa021ec31443d
2061,Sony PlayStation Portable,Densha de Go! Pocket: Yamanotesen-hen,電車でＧＯ！ポケット:　山手線編,Games,Japan,ULJM 05039,1.03,510328832,e54520ba,180b7773e3e1337d2d360baa6c847c7b,d08f6dee57bd68a0f42aa820547f615cb332f16f
2062,Sony PlayStation Portable,Kotoba no Puzzle: Mojipittan Daijiten,ことばのパズル　もじぴったん大辞典,Games,Japan,"ULJS 00002, ULJS 19003",1.00,56918016,06452fde,901f1c5c36c6b1ec018677dad6e36728,107a46fa17163cd400bfcbb717ffecd43d8e2e13
2063,Sony PlayStation Portable,Irem Taikenban Shuu 2007 Kaki Tokubetsugou,アイレム体験版集2007夏季特別号,Demos,Japan,ULJM-91011,1.01,239435776,775d890c,9964087eac33f0bc8c3630f32c3398e8,c1da6c726366b9dd550a25e138608a46f6027d88
2107,Sony PlayStation Portable,Spider-Man: Friend or Foe,Spider-Man: Amici o Nemici,Games,Europe,ULES-00899,1.01,877133824,f039522f,c5c77f9d0b5a98b92455191a65a9934e,00e49466bdb5dca2ebd6d93f81f34520d59b6226
2108,Sony PlayStation Portable,Juiced 2: Hot Import Nights,,Games,Europe,ULES-00928,1.00,1134362624,4a720419,4dfcc2d4005daba80e25980872274b14,11e14c94821d45c76ed1517b1fe80d9c833fe91b
2132,Sony PlayStation Portable,Puzzle Quest: Challenge of the Warlords,,Games,Europe,ULES-00720,1.01,136085504,21c7d2db,b7f839c47cdfc8aacdf0c2408dd10072,7e2b872220ab69823b29e7cf25df7b15b80bc685
2133,Sony PlayStation Portable,Irregular Hunter X,イレギュラーハンターＸ,Games,"Japan, Asia","UCAS 40207, ULAS 42036, ULJM 05043, ULJM 05226",1.02,469991424,182e8118,1ffd630ace76491292673c65503816eb,326e7e0a231ea24badbb00c9e17ab946ab74ceb1
2154,Sony PlayStation Portable,Namco Museum,ナムコミュージアム,Games,"Japan, Asia","UCAS 40166, ULJS 00012, ULJS 19006",1.02,164397056,fb7d60d8,6a5bf45342d0c63b89453c350f1f23c2,67f6c831a3f22d65322cb964d711a2c51e8dd306
2155,Sony PlayStation Portable,Final Fantasy,ファイナルファンタジー,Games,"Japan, Asia","UCAS-40146, UCKS 45056, ULJM-05241, ULJM-05514",1.01,198115328,683018b7,04dec99245f83ca50d5e8812438946e5,f246ad981b4b0153d988bfddf59ef6e555408846
2193,Sony PlayStation Portable,Mahjong Fight Club,麻雀格闘倶楽部,Games,Japan,"ULJM 05002, ULJM 08005",1.01,162004992,9eb925fb,13d83cbc9b61774649e3a0f43a7cd582,293c57e773ac36112d287ca184206627727605e0
2236,Sony PlayStation Portable,Harry Potter and the Order of the Phoenix,,Games,Asia,ULAS-42104,1.00,763461632,e0f6366a,f902247831432c81aaeff546fbd90e50,56b8bdbde5c5850f179f28816fc870aba59dc881
2237,Sony PlayStation Portable,Puyo Puyo Fever 2,ぷよぷよフィーバー2,Games,Japan,ULJM 05058,1.01,219348992,5a84975c,ee43e6fb184f4e33673d600fb79d5d19,b6b01099b4ad71a76c3f01087448cc24f85890da
2241,Sony PlayStation Portable,"Warhammer 40,000: Squad Command",,Games,Europe,ULES-00873,1.01,887259136,fc88ceec,4fba4928d18db959895edb4e502708a7,0ae26f6ad7cc8a112ccf13f920baf03e8ce97c94
2292,Sony PlayStation Portable,Fight Night Round 3,,Games,Asia,ULAS-42044,1.00,1137737728,3338a88d,93c01953e3c3086bcbad7937b4bbd0ae,5a86fae23f70e1033a09a78fdb2d6874508c0e89
2293,Sony PlayStation Portable,Final Fantasy Tactics: The War of the Lions,,Games,Europe,ULES-00850,1.00,418873344,0f7ae43c,4b97913c0423b879a9321febaeb4892a,5104e61a886c1fb62fae98fa3bf96e1b0c545dc6
2517,Sony PlayStation Portable,Monster Hunter Freedom 2,,Games,Europe,ULES-00851,1.01,845905920,76a20e8c,bf0951e879e1adfef608d0a8a4690223,bee1ee210bf5686c5eeb2875e44325b5300e8551
2656,Sony PlayStation Portable,FIFA 08,,Games,Europe,ULES-00891,1.01,1307475968,a1c0eed3,b0e9aed139fe305f04d68c80df21e256,8cbb7f4599194c26b71e300c9e873abc3edfa02c
2672,Sony PlayStation Portable,Field Commander,,Games,"Europe, Australia",ULES-00335,1.01,1805254656,404ddc78,8ed6d1fdc0fabe67918f1d995c7901b0,2205263b3f59af29cff5630b3dcce2b4e985bbf4
2785,Sony PlayStation Portable,Spider-Man 2,,Games,Europe,ULES-00022,1.01,337772544,1950edec,e7819ee7e2d5087871da4a8b2fa97860,de85fb6f4a38024fe1cd7c9f7455be7a1726ab24
2786,Sony PlayStation Portable,The Simpsons Game,,Games,Europe,ULES-00975,1.00,764739584,f467a286,b335a3cba33480a1a43da190d9fd9276,266944d0643eff7ed4f3c28e8414e74239f0e9c8
2794,Sony PlayStation Portable,Ace Combat X: Skies of Deception,エースコンバットＸ：　スカイズ・オブ・デセプション,Games,"Japan, Asia","UCAS 40120, ULJS 00086",1.01,1121026048,c603f12c,ea292930f6785c7faf93a46396a29f05,0c5ab4cb4bc4590a512a9f4f72c8e0f652f384c7
2806,Sony PlayStation Portable,Crash Tag Team Racing,,Games,Europe,"ULES-00168, ULES-00168#2, ULES-00168/E, ULES-00168/P",1.00,1535836160,dfb63b73,fbd6371a417f74aac12a33c462ebc5ec,92a47a790f2d230196638c43fa86b6637b70b874
2807,Sony PlayStation Portable,Marvel: Ultimate Alliance,,Games,Europe,ULES-00542,1.01,1773764608,5ff7bb23,3b347a5919d60724f6fbfb5ea578a96d,fa9d561f2c6a4f085e3701351083a7a596fc82a1
2809,Sony PlayStation Portable,Final Fantasy: 20th Anniversary Edition,,Games,USA,ULUS-10251,1.00,198115328,a3d9cf51,b14575e19147f4e3571a7757d13de473,764a480fe78779ced7c9c0e16ab277cce486ade1
2815,Sony PlayStation Portable,World Series of Poker,,Games,USA,ULUS-10047,1.00,345178112,99eb5b8b,c1bce446026e3e78f40753fb585052a9,c15288eaca86b8e17f6343d6b7b8a76fd3e425ce
2816,Sony PlayStation Portable,Mortal Kombat: Unchained,,Games,USA,ULUS-10102,1.03,1568899072,e17678e0,ee09a9d9cebe1586b969b00bdaa9d436,cd2470cd1b2a602c2b34837cfd54045d66dd56f1
2817,Sony PlayStation Portable,Valkyrie Profile: Lenneth,,Games,USA,ULUS-10107,1.00,710410240,344d20af,0fc8df647c15d2d154759e2a1f6cfe8e,bc3762ccecf7ce8e5975b779265a18eb4817c8d3
2836,Sony PlayStation Portable,Virtua Tennis 3,,Games,Europe,ULES-00763,1.00,582156288,7ede3589,55890b337a6be6a4e40f886675e22cdf,8046a0f2b328f843e84a463844cc78d210decb6a
2853,Sony PlayStation Portable,WipEout Pulse,,Games,Asia,"UCAS-40179, UCKS-45078",1.00,456884224,794790be,4903d7f706bfae1bceeb3bed4b675276,6b43396c41158a3bddf0ffea9c6bd7eb1f38cc31
2917,Sony PlayStation Portable,Medal of Honor: Heroes 2,,Games,Europe,ULES-00955,1.00,1226768384,8c5b08a4,8e203dcc18aea84b4de28c2c08663511,98decffb3a578a307a75f6e4b6c2a5aba02ee9c2
2930,Sony PlayStation Portable,Beowulf: The Game,,Games,Europe,ULES-00992,1.00,1260945408,44568cca,34d26f318f82252a1eca1bd4ae9b8864,083260cc7419de68544c9e7e4cf489775d2c4cd7
2974,Sony PlayStation Portable,Jet de Go! Pocket,ジェットでＧＯ！ポケット,Games,Asia,UCAS-40175,1.02,673447936,0888d8d4,82325fa8e80fe40e344a56ac8e898d39,13338aa0030a7199f2f5d63e49ad642e25848a45
2975,Sony PlayStation Portable,Dragon Quest & Final Fantasy in Itadaki Street Portable,ドラゴンクエスト&ファイナルファンタジーinいただきストリートポータブル,Games,Japan,"ULJM 05127, ULJM-05321",1.02,309166080,f4d7331e,dfb9219dd39b7b0be49a57f617bf3dc8,3825e6db28d116924af345a3ea107055a7b8a078
2978,Sony PlayStation Portable,Kuru Kuru Chameleon,くるくるカメレオン,Games,Japan,ULJM-05067,1.01,69566464,f2ce978a,0f5ca49c9268903fb0be3ed26986a166,9dd3b4a356c2155e142e6fb00bea7bebfe2d446f
2979,Sony PlayStation Portable,Gradius Portable,グラディウスポータブル,Games,Japan,"ULJM 05091, ULJM 05222",1.03,338821120,0070d32a,03310f92f5f8e6f00babc67a9aa658e4,1d3dc284eddf7f27e0e96b31f4f5dce2f8181740
2985,Sony PlayStation Portable,Tekken: Dark Resurrection,鉄拳 Dark Resurrection,Games,"Japan, Asia","UCAS-40164, ULJS 00048",1.06,1748762624,9d925a8b,610a5558857906e2bbf1352d96d5ddd4,b44231d21fac1e999be4c699dd7cb5cd00a80667
2986,Sony PlayStation Portable,NBA Live 06,NBAライブ06,Games,Japan,ULJM 05182,1.03,1302102016,b0c7f908,dcf7b8f07545bd9dd35e693cfaa7db4f,3e93025012150886e23b101bb92dd3423f5bef7c
2987,Sony PlayStation Portable,Piposaru Academia 2: Aiai Saruge Janken Battle,ピポサルアカデミ～ア2: あいあいサルゲ～ジャンケンバトル,Games,Japan,"UCJS 10020, UCJS 18009",1.00,347865088,99a91fbe,ddb05d3ccd9006ad079f802e31117895,0e1b4e57519a09351563493f9f5f076ff2752896
3001,Sony PlayStation Portable,TalkMan-shiki Shabelingual Eikaiwa for Kids!,TalkMan式　しゃべリンガル英会話 for Kids!,Educational,Japan,UCJS-10053,1.00,327286784,99d5ca09,5c904027fe5e60afa8367650153eb166,1a253afe213be838eec5911bec3751c95ada7e13
3016,Sony PlayStation Portable,Xyanide: Resurrection,,Games,Asia,UCAS-40182,1.01,1567227904,5cf3beae,4f783eee9d1cfe9091bd843f2347914f,4fd6e8e278bd83843bd682d2c730185fc33306b5
3061,Sony PlayStation Portable,Hard Rock Casino,,Games,Europe,ULES-00638,1.01,364085248,d9f76e04,88b91da4b02d21df056447814d1186bc,d5cc35d74d6eda7c1bd1aa688cc19cebbca81a85
3070,Sony PlayStation Portable,Innocent Life: Shin Bokujou Monogatari,イノセントライフ　～　新牧場物語,Games,Japan,ULJS 00119,1.01,207060992,ff16b632,b66d7b6cf751e55c80cec85d287c664e,c3b24e4c8f3a8ce03fe6d8ce8abcf2c55ae7cb26
3072,Sony PlayStation Portable,Karakuri,カラクリ,Demos,Japan,ULJM 91001,1.01,553287680,19e00773,d8d43431120f13c73a270a3cc14fbf19,e4f686efedf6cf1976016cb90c84b5c6d9ef4528
3075,Sony PlayStation Portable,Simple 2500 Series Portable!! Vol. 11: The Puzzle Quest: Agaria no Kishi,ＳＩＭＰＬＥ２５００シリーズポータブル！！　Ｖｏｌ．１１　ＴＨＥ　パズルクエスト　～アガリアの騎士～,Games,Japan,ULJS-00114,1.01,147521536,ca558618,86ee78423e6382c1f1c2edc2706d0ae4,6f7569ba30f5135aabc93eb4dbe889295e61a6df
3090,Sony PlayStation Portable,Shin Sangoku Musou,真・三國無双,Games,"Japan, Asia","ULAS 42008, ULJM 05003, ULJM 08008, ULJM 08017",1.01,199950336,8f727dbf,8ba7409b9ae72d95729184409ccd7cda,ea8fb5e101f7de2ecfc9d23c7187f05034d84671
3111,Sony PlayStation Portable,Moegaku @ Portable,もえがく@ポータブル,Games,Japan,ULJM-05174,1.02,459964416,69e29924,64a4681f3ecb08e9c0cb7611fe65351f,e4943860e17c85d41cc9e83befe4d326a12a5ae3
3112,Sony PlayStation Portable,Musou Orochi,無双ＯＲＯＣＨＩ,Games,"Japan, Korea","ULJM 05314, ULKS 46174",1.02,906362880,4f6efb0b,97f59d1ca445235e2a431b67f2c53a0b,56b93f0c4a02f3044008bcb2b0b39fef3e8cc9eb
3144,Sony PlayStation Portable,Worms: Open Warfare 2,,Games,Europe,ULES-00819,1.01,196870144,d9bbf442,4e7b222c959a801c9a68a10fe5343387,bef541d1865f8cb3d09fbc5ace66fa986432122a
3145,Sony PlayStation Portable,Pursuit Force: Extreme Justice,,Games,Europe,"UCES-00694, UCES-00694 #3",1.03,1634467840,5ab18e1f,28d1de619c71594671bd1b7046e0d50e,c93d5c61a0e05ba222eaa24a0e2de9743469547d
3146,Sony PlayStation Portable,Chronicle of Dungeon Maker,クロニクルオブダンジョンメーカー,Games,Asia,UCAS-40176,1.01,150372352,6f49c328,ed5fe34b338fdd18f690b971ca99db06,3e5eee6f4534c397d11c80cc75b76956b2722b0d
3147,Sony PlayStation Portable,Saru! Get You! Piposaru Racer,サルゲッチュ ピポサルレーサー,Games,"Japan, Asia","UCAS 40134, UCJS 18016",1.00,259948544,35deb473,7ba79450daa4b917cc349ca46fb801a4,67e2656bf9269e0d66c0e1ff57f5e4e4492bb9b5
3148,Sony PlayStation Portable,Monster Hunter Portable,モンスターハンターポータブル,Games,Japan,"ULJM 05066, ULJM 08010, ULJM 08014",1.03,745799680,24760064,64de03b9101204955771335c5bb618f3,c1371e6562fae925194c28823c9a785879c5578f
3192,Sony PlayStation Portable,Grand Theft Auto: Liberty City Stories,,Games,USA,"ULUS-10041, ULUS-10041GH",3.00,1255243776,b78703cc,7230bf9f55d89a34913f817b6e8a4fc4,826dba2aeb56007c0e916d517c71855cfd494f73
3197,Sony PlayStation Portable,Burnout Legends,バーンアウト　レジェンド,Games,Japan,ULJM 05228,1.01,505905152,a9bec173,f59f9cfd83070bd2f2532d2615f6e3e2,371f481a74e2a0d96d3b940eab607a46506b9189
3198,Sony PlayStation Portable,Makai Senki Disgaea Portable: Tsuushin Taisen Hajimemashita.,魔界戦記ディスガイアポータブル:通信対戦はじめました。,Games,"Japan, Korea","UCKS 45079, ULJS 00113",1.01,901513216,f3536088,02cedafe3b20fcdbbb49b919276f9b84,d7935854b669b1d7b9fec50c6c7bf525ad96c6aa
3199,Sony PlayStation Portable,Kanji Trainer Portable,京都大学 阿辻哲次教授監修 財団法人日本漢字能力検定協会協力 漢字トレーナー ポータブル,Games,Japan,ULJM-05201,1.01,75497472,c1671220,77f4eb7cc4702c281609e3517c28ab78,f493c1f72bac4e0bff159c5f01704c962450db18
3214,Sony PlayStation Portable,Syphon Filter: Dark Mirror,,Games,Europe,"UCES-00310, UCES-00310/UK",1.00,1775894528,642627bb,d8715783c35dddf46f323277d61799fb,11c3793e440ee2f47a3fb410530d8b3376a392f2
3241,Sony PlayStation Portable,Dora-Slot: Oki Slot Ou! Pioneer 12,ドラスロット:沖スロ王! パイオニア12,Games,Japan,ULJM-05069,1.04,125435904,0b7d4b07,e7aa12fdb4d06a0389f7d80630578065,afe5a211842688d3ebeb92fedce7867f5acda3fd
3242,Sony PlayStation Portable,FIFA Soccer,피파 축구,Games,Korea,ULKS 46011,1.00,1235451904,00357311,d3b29b9214842188cebebf899b74f18b,d52e12b42ae715291da3766e40a7b25cec589453
3247,Sony PlayStation Portable,Metal Gear Solid: Portable Ops Plus,METAL GEAR SOLID PORTABLE OPS +,Games,Asia,ULAS-42123,1.01,1248067584,5168c0f7,68a45d65d1a083c95d76ef91be920671,f3a62b739bd2d60d08ff6bae771cd4a9245f0646
3260,Sony PlayStation Portable,PlayStation Spot Sen'you UMD Vol. 5,PlayStation Spot 専用 UMD Vol.5,Demos,Japan,UCJX-90021,1.00,273350656,585266d5,b2762065b492d209319549496e56b36b,73c645fa227b8aa9ba87551159e7b8f67971b790
